,field_1,Company Name,Primary Role,Secondary Role,Key Personnel,Annual Revenue,Employees,Year Founded,Website,Lat,Long,geom,geometry
10,10,Source International,Custom Manufacturer,"Distributor, Service Company, Finishing Service Company","Rick Lykins, CEO",$100 - 249.9 Mil,100-199,1988,https://www.sourceint.com/,38.27154,-85.710224,,POINT (-85.710224 38.27154)
35,35,Kanban,Custom Manufacturer,"Service Company, Finishing Service Company","Jimmy Poiry, CEO",,,,https://uskanban.com/,41.06593,-85.104339,,POINT (-85.104339 41.06593)
95,95,RPM Industries,Custom Manufacturer,,Not available,Under $1 Mil,9-Jan,2008,https://rpmindinc.com/,41.373618,-82.142442,,POINT (-82.142442 41.373618)
107,107,"PJ's Fabricating, Inc.",Custom Manufacturer,,Not available,$5 - 9.9 Mil,Oct-49,1977,https://www.pjsfab.com/,40.783357,-81.416967,,POINT (-81.416967 40.783357)
116,117,Elixir Door & Metals Company,Custom Manufacturer,Finishing Service Company,Not available,$250 Mil. and over,,,http://elixirdoorandmetalscompany.com/,34.707716,-87.658946,,POINT (-87.658946 34.707716)
121,122,Gordon Bros. Steel Warehouse,Distributor,"Custom Manufacturer, Finishing Service Company",Not available,$10 - 24.9 Mil,Oct-49,1910,http://www.gordonsteel.com,41.816631,-87.65909,,POINT (-87.65909 41.816631)
130,131,"Midwest Plating Company, Inc.",Manufacturer,"Custom Manufacturer, Service Company, Finishing Service Company","Michael Bello, Jr., Vice President",,Oct-49,1961,https://mwplating.com/,38.675924,-90.203811,,POINT (-90.203811 38.675924)
138,139,"Wheaton & Sons, Inc.",Custom Manufacturer,,Not available,,,1984,http://wheatonandsons.com/,40.404948,-79.875417,,POINT (-79.875417 40.404948)
139,140,Zarbana Industries,Custom Manufacturer,,Not available,$5 - 9.9 Mil,Oct-49,2005,http://www.zarbana.com/,40.888676,-80.710401,,POINT (-80.710401 40.888676)
159,160,National Extrusion & Mfg. Co.,Custom Manufacturer,,Not available,$5 - 9.9 Mil,Oct-49,1950,http://www.nationalextrusion.com,40.370411,-83.762757,,POINT (-83.762757 40.370411)
160,161,Dlubak Corp.,Manufacturer,"Custom Manufacturer, Finishing Service Company",Not available,$10 - 24.9 Mil,50-99,1940,https://www.dlubakglass.com/,40.43118,-79.260869,,POINT (-79.260869 40.43118)
165,166,Earle M. Jorgensen Co.,Distributor,,Not available,$10 - 24.9 Mil,500-999,1924,https://www.emjmetals.com/,41.993296,-88.093024,,POINT (-88.093024 41.993296)
171,172,Corey Steel Co.,Manufacturer,"Distributor, Custom Manufacturer, Finishing Service Company",Not available,$100 - 249.9 Mil,200-499,1924,http://www.coreysteel.com,41.838629,-87.777681,,POINT (-87.777681 41.838629)
187,188,"Iowa Aluminum, Inc.",Custom Manufacturer,"Manufacturer, Service Company, Finishing Service Company",Not available,$10 - 24.9 Mil,Oct-49,1999,https://iowaaluminum.com/,41.03217,-92.79451,,POINT (-92.79451 41.03217)
214,215,"Alum-Elec Structures, Inc.",Custom Manufacturer,"Manufacturer, Service Company, Finishing Service Company",Not available,Under $1 Mil,Oct-49,1987,http://www.alumelec.com,41.448816,-85.269498,,POINT (-85.269498 41.448816)
221,222,Cardinal Aluminum Co.,Manufacturer,"Custom Manufacturer, Finishing Service Company",Not available,$10 - 24.9 Mil,500-999,1946,https://www.cardinalaluminum.com/,38.151567,-85.69624,,POINT (-85.69624 38.151567)
